caldt,vwretd,vwretx
1989-12-11,-0.001052,-0.001594
1989-12-12,0.006429,0.006336
1989-12-13,0.002916,0.002885
1989-12-14,-0.005133,-0.005170
1989-12-15,-0.003453,-0.003472
1989-12-18,-0.016629,-0.016719
1989-12-19,-0.004109,-0.004189
1989-12-20,0.001387,0.001354
1989-12-21,0.005471,0.005444
1989-12-22,0.008052,0.007483
1989-12-26,-0.000510,-0.000689
1989-12-27,0.005115,0.005098
1989-12-28,0.004632,0.004615
1989-12-29,0.007902,0.007683
1990-01-02,0.014433,0.014405
1990-01-03,0.000022,-0.000002
1990-01-04,-0.006486,-0.006836
1990-01-05,-0.007631,-0.007657
1990-01-08,0.003075,0.002939
1990-01-09,-0.009269,-0.009309
1990-01-10,-0.006844,-0.006861
1990-01-11,0.002619,0.002594
1990-01-12,-0.022550,-0.022717
1990-01-15,-0.008903,-0.008903
1990-01-16,0.008722,0.008671
1990-01-17,-0.006947,-0.006984
1990-01-18,0.000333,0.000326
1990-01-19,0.003150,0.003111
1990-01-22,-0.022214,-0.022325
1990-01-23,-0.000081,-0.000110
1990-01-24,-0.004773,-0.004922
1990-01-25,-0.009855,-0.009983
1990-01-26,-0.003405,-0.003536
1990-01-29,-0.002976,-0.003163
1990-01-30,-0.008592,-0.008807
1990-01-31,0.016312,0.016304
1990-02-01,0.001097,0.000963
1990-02-02,0.007203,0.007071
1990-02-05,0.004264,0.003664
1990-02-06,-0.004798,-0.005078
1990-02-07,0.010520,0.010371
1990-02-08,-0.000555,-0.000625
1990-02-09,0.002516,0.002061
1990-02-12,-0.008742,-0.009124
1990-02-13,0.001495,0.001242
1990-02-14,0.002070,0.002023
1990-02-15,0.007679,0.007622
1990-02-16,-0.004366,-0.004627
1990-02-20,-0.012805,-0.012866
1990-02-21,-0.001966,-0.001998
1990-02-22,-0.003193,-0.003335
1990-02-23,-0.005441,-0.005685
1990-02-26,0.009423,0.009163
1990-02-27,0.005183,0.004998
1990-02-28,0.005599,0.005437
1990-03-01,0.002961,0.002844
1990-03-02,0.008011,0.007999
1990-03-05,-0.003227,-0.003723
1990-03-06,0.010611,0.010492
1990-03-07,-0.001645,-0.001680
1990-03-08,0.008561,0.008515
1990-03-09,-0.004731,-0.005160
1990-03-12,0.001731,0.001594
1990-03-13,-0.006391,-0.006465
1990-03-14,0.002619,0.002577
1990-03-15,0.002671,0.002647
1990-03-16,0.008939,0.008913
1990-03-19,0.003920,0.003866
1990-03-20,-0.005080,-0.005159
1990-03-21,-0.004066,-0.004093
1990-03-22,-0.011574,-0.011584
1990-03-23,0.004461,0.004449
1990-03-26,0.001730,0.001156
1990-03-27,0.007776,0.007722
1990-03-28,0.001340,0.001318
1990-03-29,-0.003040,-0.003046
1990-03-30,-0.001393,-0.001476
1990-04-02,-0.004029,-0.004211
1990-04-03,0.012721,0.012673
1990-04-04,-0.005988,-0.006360
1990-04-05,-0.000996,-0.001084
1990-04-06,-0.002248,-0.002388
1990-04-09,0.002047,0.001969
1990-04-10,0.001632,0.001605
1990-04-11,-0.000101,-0.000106
1990-04-12,0.006810,0.006731
1990-04-16,0.000896,0.000770
1990-04-17,-0.000704,-0.000722
1990-04-18,-0.010032,-0.010061
1990-04-19,-0.007279,-0.007301
1990-04-20,-0.008564,-0.008598
1990-04-23,-0.010963,-0.011080
1990-04-24,-0.002231,-0.002365
1990-04-25,0.004541,0.004378
1990-04-26,0.002074,0.001954
1990-04-27,-0.010253,-0.010513
1990-04-30,0.004452,0.004190
1990-05-01,0.004264,0.004032
1990-05-02,0.005668,0.005608
1990-05-03,0.003564,0.003340
1990-05-04,0.007833,0.007419
1990-05-07,0.005967,0.005698
1990-05-08,0.003826,0.003526
1990-05-09,0.001409,0.001149
1990-05-10,0.004172,0.004053
1990-05-11,0.019774,0.019585
1990-05-14,0.007842,0.007377
1990-05-15,-0.000891,-0.000951
1990-05-16,-0.000746,-0.000910
1990-05-17,0.002435,0.002394
1990-05-18,0.001087,0.001079
1990-05-21,0.009446,0.009219
1990-05-22,0.001591,0.001552
1990-05-23,0.002005,0.001944
1990-05-24,-0.000576,-0.000720
1990-05-25,-0.008830,-0.009241
1990-05-29,0.013671,0.013471
1990-05-30,0.001209,0.001160
1990-05-31,0.001151,0.000982
1990-06-01,0.005492,0.005420
1990-06-04,0.010774,0.010538
1990-06-05,-0.001530,-0.001676
1990-06-06,-0.003031,-0.003067
1990-06-07,-0.004297,-0.004339
1990-06-08,-0.010236,-0.010270
1990-06-11,0.006587,0.006080
1990-06-12,0.010834,0.010768
1990-06-13,-0.002080,-0.002123
1990-06-14,-0.004824,-0.004878
1990-06-15,-0.000685,-0.000915
1990-06-18,-0.014122,-0.014197
1990-06-19,0.003006,0.002930
1990-06-20,0.001107,0.001092
1990-06-21,0.002671,0.002647
1990-06-22,-0.010011,-0.010021
1990-06-25,-0.007954,-0.008503
1990-06-26,-0.000954,-0.001009
1990-06-27,0.006606,0.006585
1990-06-28,0.006728,0.006652
1990-06-29,0.002203,0.002026
1990-07-02,0.003127,0.003085
1990-07-03,0.001884,0.001541
1990-07-05,-0.009792,-0.009942
1990-07-06,0.006186,0.006166
1990-07-09,0.002206,0.002085
1990-07-10,-0.006086,-0.006140
1990-07-11,0.010540,0.010527
1990-07-12,0.010528,0.010513
1990-07-13,0.004701,0.004648
1990-07-16,0.004133,0.003901
1990-07-17,-0.004129,-0.004151
1990-07-18,-0.008366,-0.008394
1990-07-19,0.001465,0.001437
1990-07-20,-0.007857,-0.007875
1990-07-23,-0.018045,-0.018221
1990-07-24,0.000487,0.000463
1990-07-25,0.003915,0.003791
1990-07-26,-0.002186,-0.002282
1990-07-27,-0.006223,-0.006342
1990-07-30,0.002878,0.002647
1990-07-31,0.001627,0.001338
1990-08-01,-0.001430,-0.001483
1990-08-02,-0.011008,-0.011142
1990-08-03,-0.017805,-0.017933
1990-08-06,-0.031547,-0.032103
1990-08-07,0.002031,0.001684
1990-08-08,0.010735,0.010698
1990-08-09,0.005941,0.005675
1990-08-10,-0.010886,-0.011121
1990-08-13,0.006974,0.006646
1990-08-14,0.002559,0.002418
1990-08-15,0.002844,0.002730
1990-08-16,-0.020331,-0.020488
1990-08-17,-0.014445,-0.014452
1990-08-20,-0.000830,-0.001029
1990-08-21,-0.019042,-0.019139
1990-08-22,-0.014791,-0.014839
1990-08-23,-0.031435,-0.031467
1990-08-24,0.013849,0.013819
1990-08-27,0.030534,0.030127
1990-08-28,0.000968,0.000626
1990-08-29,0.007242,0.007155
1990-08-30,-0.013141,-0.013170
1990-08-31,0.009347,0.009049
1990-09-04,0.000922,0.000635
1990-09-05,0.003995,0.003976
1990-09-06,-0.009701,-0.009755
1990-09-07,0.007489,0.007479
1990-09-10,-0.003173,-0.003717
1990-09-11,-0.001574,-0.001750
1990-09-12,0.003115,0.003099
1990-09-13,-0.010234,-0.010249
1990-09-14,-0.005623,-0.005680
1990-09-17,0.002192,0.002124
1990-09-18,0.001077,0.000992
1990-09-19,-0.004999,-0.005014
1990-09-20,-0.015243,-0.015415
1990-09-21,-0.001751,-0.001777
1990-09-24,-0.020551,-0.021026
1990-09-25,0.009762,0.009656
1990-09-26,-0.010294,-0.010319
1990-09-27,-0.014320,-0.014459
1990-09-28,0.014276,0.014262
1990-10-01,0.026022,0.025713
1990-10-02,0.002635,0.002617
1990-10-03,-0.010339,-0.010843
